id,log2FoldChange,pval,padj
0610005C13Rik,1.7479065368,0.7245315833,0.9834256956
0610007C21Rik,0.8955908448,0.0014368422,0.0121248311
0610007L01Rik,-0.1186817696,0.5758500053,0.8913037554
0610007N19Rik,-0.0068836137,0.9360543232,1
0610007P08Rik,0.1574613133,0.5197914787,0.844215424
0610007P14Rik,-0.3680006123,0.1161245368,0.3295852029
0610007P22Rik,-0.4736524939,0.097409173,0.2909916668
0610009B22Rik,0.1136691815,0.7321053047,0.9869737957
0610009D07Rik,-0.4972364014,0.0385558499,0.1492273764
0610009L18Rik,0.9274329102,0.3345169063,0.6588898701
0610009O20Rik,0.3608421484,0.1295645167,0.3553091531
0610010B08Rik,1.95122073,0.8827363247,1
0610010F05Rik,-0.3305360025,0.1993215622,0.474725828
0610010K14Rik,-0.2128833933,0.4332848234,0.7653719615
0610010O12Rik,-0.3392999451,0.5101057164,0.8362103087
0610011F06Rik,-0.4619130219,0.1954703579,0.4682505267
0610011L14Rik,-0.1047811563,0.664020079,0.9504502194
0610012G03Rik,-0.5891032407,0.0344208306,0.1372058172
0610012H03Rik,Inf,0.9563652549,1
0610030E20Rik,0.5838030508,0.0178180518,0.0838248564
0610031J06Rik,0.9341768101,1.83677840260568E-05,0.0003312649
0610037L13Rik,-0.4576009751,0.0952065654,0.2863230215
0610037P05Rik,-0.2874459671,0.2667649169,0.5748582161
0610038B21Rik,0.9350044791,0.5672710421,0.8838292415
0610038L08Rik,0.0119078866,1,1
0610039K10Rik,1.7691664453,0.6501421732,0.9426839089
0610040B10Rik,0.9990165221,0.3738413455,0.703098772
0610040F04Rik,NA,NA,NA
0610040J01Rik,0.9691308788,0.7878883643,1
0610043K17Rik,Inf,0.4865720587,0.8174640231
0910001L09Rik,0.2789119356,0.3055370771,0.6254617833
1100001G20Rik,NA,NA,NA
1110001A16Rik,-0.2459004746,0.5714795974,0.8879008012
1110001J03Rik,-0.7144502487,0.0486111794,0.1765440384
1110002B05Rik,-0.2983617091,0.1888155038,0.4576110417
