id,log2FoldChange,pval,padj
Manf,0.276504118,0.1741317173,0.3603367721
Mansc1,1.5915418415,0.1294415825,0.2861820358
Maoa,-1.2677746804,8.0479736375579E-17,2.73949835306179E-15
Maob,3.7091351351,2.3120750810525E-05,0.0001651894
Map1lc3a,0.6929631344,0.0026114612,0.0111143893
Map1lc3b,0.8089613367,0.000004434,3.63125681433715E-05
Map2k1,0.9919995645,3.37797693785996E-07,3.3977427479118E-06
Map2k2,-0.7957693195,8.83884505672588E-08,9.88547472512153E-07
Map2k3,-0.8294759155,7.82664788888492E-07,7.41267643029927E-06
Map2k4,-0.3536475442,0.023576309,0.0721004718
Map2k5,0.0869664443,0.6781574164,0.8869653018
Map2k6,1.6436848341,1.33708386814504E-06,1.21162212405974E-05
Map2k7,0.1894637047,0.2639077155,0.4883374338
Map3k1,0.5580683198,0.0062874448,0.0238537136
Map3k10,-0.4304735896,0.0199687434,0.0627251152
Map3k11,-0.4999373509,0.0026924157,0.0114165334
Map3k12,0.2162876117,0.2534208208,0.474867265
Map3k13,0.6723433921,0.1150599328,0.2611063029
Map3k14,-0.5835388711,0.0178273142,0.0572058114
Map3k15,1.2419534936,0.0005547777,0.0028433597
Map3k2,0.548237119,0.0014336886,0.0066001892
Map3k3,-0.076679392,0.6122670587,0.8373428878
Map3k4,-0.7145306659,2.11855872965198E-05,0.0001528243
Map3k5,4.5675963379,1.86698057818755E-12,4.03183368580954E-11
Map3k6,0.5400419871,0.0196749555,0.0619633477
Map3k7,0.1120321217,0.4992361218,0.7409346967
Map3k8,4.4615179257,1.45192874831213E-47,2.80434327904332E-45
Map3k9,-0.8672367212,0.4458907158,0.6961094728
Map4k1,0.4854335537,0.469056318,0.7148752643
Map4k2,0.9392501325,5.0275339991786E-05,0.0003306171
Map4k3,0.8598903079,7.29379287364704E-06,5.74348600540507E-05
Map4k4,0.6558487212,0.0003313385,0.0017899775
Map4k5,-0.2062603348,0.1966080979,0.3941333182
Map6d1,-0.0048034749,0.9115019437,1
Mapk1,-0.3297958772,0.0278214237,0.0827279489
Mapk10,0.6236891417,0.8558390567,1
Mapk11,0.1002335578,0.7288811076,0.9234571227
Mapk12,0.2062835274,0.6123758388,0.8373428878
Mapk13,-0.2791378841,0.5609259104,0.7938022886
Mapk14,-0.2002477758,0.196431955,0.3938720759
Mapk15,1.6435784341,0.5001622478,0.7409346967
Mapk1ip1,0.453087951,0.166622261,0.3484472829
Mapk1ip1l,-0.4183148988,0.0076874976,0.0282428048
Mapk3,-0.1155577948,0.4522058781,0.7011924089
Mapk4,-1.0694941389,0.2171992584,0.424906709
Mapk6,-0.3345456215,0.0288667736,0.0853784993
Mapk7,-0.3087975098,0.0730852188,0.1817614166
Mapk8,0.0608265209,0.7544261638,0.9411640992
Mapk8ip1,-0.672281849,0.0002198065,0.001242585
Mapk8ip2,1.9245391176,0.9014138761,1
Mapk8ip3,-0.0570238284,0.7048934151,0.9064515495
Mapk9,0.0051994371,1,1
Mapkap1,-0.255833357,0.1266850075,0.2813418148
Mapkapk2,0.671176688,0.0023601085,0.0101781899
Mapkapk3,0.398920522,0.0581507164,0.1509628597
Mapkapk5,-0.3612312725,0.0419136333,0.116115287
Mapkbp1,0.3280569748,0.0927005896,0.2205263126
Mapre1,-0.3555578202,0.0171690178,0.055455734
Mapre2,0.4267974238,0.0927674457,0.2206431584
Mapre3,0.1705756495,0.4507453264,0.700260625
Mapt,1.6982374332,1,1
March1,-0.6592690533,0.2762927469,0.5044580264
March10,0.0384394041,1,1
March11,1.0940335877,0.7174305255,0.91522306
March2,-0.3686665337,0.0467548041,0.1267724672
March3,0.7544073238,0.0289579798,0.0856335237
March4,Inf,1,1
March5,0.2706487452,0.1082646745,0.248739609
March6,0.5321334525,0.0015604064,0.0070830173
March7,0.4539835434,0.0089026221,0.031949076
March8,0.0304803724,0.8729107464,1
March9,-1.0093779388,0.0726674783,0.1809615661
Marcks,0.0496050995,0.7696211615,0.9519887577
Marcksl1,-1.1248716678,0.000000028,3.35183220845002E-07
Mark1,2.632411092,2.59267915931747E-14,7.02967740515256E-13
Mark2,0.1266306762,0.4891583435,0.7344855095
Mark3,-0.2016308588,0.1981490345,0.3964825868
Mark4,-0.0890968136,0.6279111409,0.8500935457
Mars,-0.7850582934,6.7211135605365E-05,0.0004287048
Mars2,-0.9191123443,0.0001947655,0.0011141492
Marveld1,-0.4123738926,0.013489372,0.0449994769
Marveld2,-0.8882547532,0.6843826429,0.8921991226
Marveld3,-0.8397732627,0.5546950678,0.7892477047
Mas1,-1.3486594439,0.4633908241,0.709954391
Masp1,-3.0861624621,1.97174504185364E-56,5.55644217532199E-54
Masp2,-1.3252006558,0.4710796388,0.716696259
Mast1,0.4367973079,0.1879797744,0.3815980541
Mast2,-0.632722188,9.24143973587309E-05,0.0005722635
Mast3,-0.0434365334,0.7750720267,0.956254083
Mast4,0.0997193292,0.5510239325,0.7876974992
Mastl,0.3794703412,0.0328240282,0.0951188544
Mat2a,-0.1611036336,0.2837701059,0.5141239587
Mat2b,0.50975261,0.010315245,0.0360918099
Matk,0.4022865571,0.5458703728,0.7840501093
Matn2,0.4282749172,0.0669211377,0.1691975816
Matn3,-2.197252269,0.0451253496,0.1233234911
Matn4,2.7119264657,0.1923756075,0.388183671
Matr3,0.2018714255,0.2066698675,0.4096622085
Mau2,0.2263335179,0.1877366044,0.381150118
Mavs,-0.2650720948,0.1317127355,0.2902746057
Max,-0.1216882437,0.4548472255,0.7035112296
Maz,-0.3932864877,0.0194483499,0.0613989228
Mb,Inf,1,1
Mbd1,1.0785488193,5.84567955892068E-09,7.74766627739757E-08
Mbd2,0.1098497368,0.5276166342,0.7673855607
Mbd3,-0.8493203343,2.38037492802306E-08,2.8917770327008E-07
Mbd4,0.8533900266,0.0009715861,0.0046626367
Mbd5,0.817986383,4.59742092595211E-05,0.0003051227
Mbd6,0.2706454166,0.1392167321,0.3032115832
Mbip,0.317872586,0.1612594451,0.3403759096
Mblac1,-0.169529363,0.6226023033,0.8452292537
Mblac2,-0.149934234,0.7030248167,0.9057180993
Mbnl1,-0.0769032855,0.6372393986,0.858083042
Mbnl2,0.3448974692,0.0333525849,0.0964554061
Mbnl3,-0.2190652321,0.2440576158,0.4622975664
Mboat1,-0.6985876107,0.0366145122,0.1039477233
Mboat2,-0.135596648,0.772666207,0.9543132704
Mboat4,1.2613836601,1,1
Mboat7,0.0023527089,1,1
Mbp,-1.1281810683,0.0003142519,0.0017067899
Mbtd1,1.1347375668,0.0003560408,0.0019120092
Mbtps1,0.3192446533,0.0483759633,0.1305467518
Mbtps2,0.1191930867,0.5026697389,0.7433026074
Mc1r,2.5616763166,0.2149535,0.4216169175
Mc2r,Inf,1,1
Mc5r,0.6722903217,1,1
