id,log2FoldChange,pval,padj
0610005C13Rik,-1.1010227164,0.4745107027,0.7998655734
0610007C21Rik,-0.3832821645,0.0323004523,0.1517936081
0610007L01Rik,0.3168590906,0.0477044703,0.2009260464
0610007N19Rik,0.0528283403,0.8002631848,0.9769295925
0610007P08Rik,0.1384862178,0.4049398278,0.7547243607
0610007P14Rik,0.6124663993,0.0006663099,0.006411324
0610007P22Rik,-0.1357773381,0.4809407234,0.8037604789
0610009B22Rik,0.511922601,0.0335668084,0.1560407886
0610009D07Rik,0.3211086173,0.0759796689,0.2794688079
0610009L18Rik,-1.6619674836,0.0151816212,0.0854035697
0610009O20Rik,-0.0508969871,0.7513227948,0.952376332
0610010B08Rik,-2.857385632,0.298259367,0.650232617
0610010F05Rik,0.2094978404,0.2743858686,0.6222091736
0610010K14Rik,-0.122666003,0.4756479629,0.8006066328
0610010O12Rik,-0.7111116921,0.0601507213,0.2374770905
0610011F06Rik,0.0240604183,1,1
0610011L14Rik,-0.0911782962,0.5949733485,0.8654011227
0610012G03Rik,-0.3071523171,0.1076622697,0.3527047934
0610012H03Rik,-Inf,0.3218226284,0.6758645536
0610030E20Rik,-0.1042231866,0.5465085946,0.8418433063
0610031J06Rik,-0.2234355563,0.1334516804,0.4065187092
0610037L13Rik,-0.0612023393,0.7249228224,0.9376932697
0610037P05Rik,0.1470214652,0.4125738289,0.7617713322
0610038B21Rik,-0.934537085,0.2923149869,0.6440103673
0610038L08Rik,0.0971384539,1,1
0610039K10Rik,0.0321785257,1,1
0610040B10Rik,0.0397573109,1,1
0610040F04Rik,Inf,1,1
0610040J01Rik,1.3130002314,0.5943190157,0.8653140096
0610043K17Rik,-0.9051776508,0.5296037479,0.8319763118
0910001L09Rik,-0.238959596,0.1998673783,0.5224670181
1100001G20Rik,Inf,0.1990772421,0.5210954995
1110001A16Rik,-0.1586965872,0.5842093969,0.8596837543
1110001J03Rik,-0.1704308661,0.4856460188,0.8075872679
1110002B05Rik,0.1773461636,0.297712263,0.6496981359
1110002L01Rik,0.1322348226,0.8316716389,0.9932004716
1110002N22Rik,0.1061571694,0.7169371585,0.9329016741
1110003E01Rik,-0.2546632984,0.1488946238,0.4366925765
1110004E09Rik,-0.341805571,0.1213973035,0.3825948704
1110004F10Rik,0.1817941466,0.2924394365,0.6440103673
1110005A03Rik,0.3057273475,0.3326850204,0.6877434779
1110006O24Rik,-0.5478560475,0.2515825912,0.5927652237
1110007C09Rik,-0.4036096526,0.0734039604,0.2731465141
1110008F13Rik,0.1182225988,0.635482972,0.8882597204
1110008J03Rik,-0.1197063614,0.623758726,0.8840455802
1110008L16Rik,-0.1090643815,0.6546653728,0.8981756378
1110008P14Rik,0.4744781895,0.0479909145,0.2017869084
1110012J17Rik,-0.4220835125,0.0606040401,0.2387818601
1110012L19Rik,-0.1597589424,0.4248876416,0.7677950728
1110014N23Rik,-0.1149097412,0.4950719773,0.8155681345
1110017D15Rik,-0.2286125764,0.7690010097,0.9595232953
1110017F19Rik,-0.1131066253,0.8020397982,0.9777149697
1110018G07Rik,0.3293396313,0.0506267907,0.2095934522
1110018J18Rik,-0.0605265439,0.756670746,0.9541569708
1110019D14Rik,-0.9760496261,0.1107894132,0.359428752
1110020A21Rik,-0.1557708802,0.7840749072,0.9683645754
1110020G09Rik,0.2995700052,0.0876458986,0.3072783092
1110021J02Rik,-0.3752725978,0.0317240373,0.1498210093
1110021L09Rik,-0.0670408351,0.7539467742,0.9530295082
1110028C15Rik,-0.1622865339,0.5858349589,0.8603040717
1110031I02Rik,0.0826296593,0.8244783076,0.9884781716
1110032A03Rik,-0.3713315601,0.165649814,0.4650264012
1110032A04Rik,Inf,0.0047086021,0.0332188022
1110032F04Rik,1.0999165156,1,1
1110034A24Rik,0.1926526265,0.3374236795,0.6931841815
1110034B05Rik,0.4208987957,0.056096032,0.2262504907
1110034G24Rik,-0.2770165537,0.5355853281,0.8357376193
1110035M17Rik,-1.0819217297,0.2880492544,0.639144092
1110036E04Rik,Inf,1,1
1110037F02Rik,0.2467578456,0.1164431346,0.3722979418
1110038B12Rik,-0.4032850108,0.0113151877,0.0677023433
1110038D17Rik,0.0208575488,0.9458599642,1
1110038F14Rik,-0.1370034505,0.4373193565,0.7778357574
1110046J04Rik,-0.0862590382,0.8116546805,0.9820601734
1110049F12Rik,0.2233346639,0.2316609633,0.5690370752
1110050K14Rik,-2.0170178119,0.0016012693,0.0134270456
1110051M20Rik,-0.3091393531,0.1163795134,0.372218173
1110054M08Rik,-0.6330533842,0.1266209737,0.3932972647
1110054O05Rik,0.2061307105,0.2756251865,0.6237760522
1110057K04Rik,0.1796579019,0.3167076267,0.6723153392
1110058L19Rik,-0.1931605358,0.4492776861,0.7876429462
1110059E24Rik,0.3928111411,0.0289781719,0.1401208573
1110059G10Rik,0.2598775632,0.2888927726,0.6400285284
1110065P20Rik,-0.2317787603,0.3317882702,0.6868747004
1110067D22Rik,-0.3611320111,0.0271460089,0.1334736926
1190002F15Rik,0.1943696997,0.4173741429,0.7627047235
1190002H23Rik,1.6726002397,1.62454917561069E-05,0.0002448773
1190002N15Rik,-0.5532512657,0.0008460578,0.0078133255
1190003J15Rik,Inf,0.0684007925,0.260564437
1190005F20Rik,-0.1518854368,0.4097025216,0.7585828391
1190005I06Rik,-0.9445291252,0.0594764451,0.235644724
1190007F08Rik,-0.8502836234,0.0005416874,0.0053436139
1190007I07Rik,0.1178046323,0.7923408647,0.9727993174
1200009I06Rik,0.4694494401,0.0736094831,0.273393537
1200011I18Rik,0.2132957027,0.306586143,0.6596967331
1200011M11Rik,0.5197586411,0.0033903269,0.025133974
1200014J11Rik,-0.0878283588,0.5791580637,0.8563409599
1200016B10Rik,0.255594741,0.2329775817,0.5705614014
1300001I01Rik,-0.0172563648,0.8704591877,1
1300002E11Rik,-0.4588631261,0.1314287139,0.4024931295
1300010F03Rik,-0.2527109543,0.1644335853,0.4633147408
1300014I06Rik,1.3523477828,3.31457039563566E-12,1.52967868070971E-10
1300017J02Rik,-0.8818619052,0.5088061261,0.8226937192
1300018I17Rik,-0.3940965811,0.0362255202,0.1646526979
1300018J18Rik,-0.2959095711,0.1236705556,0.3872071562
1500001M20Rik,-0.2665627965,0.183932005,0.4959193509
1500002O10Rik,2.2785203614,0.1330608634,0.4059028357
1500002O20Rik,-0.0131440015,0.9125501015,1
1500003O03Rik,0.3335823142,0.035222291,0.1617275321
1500004A13Rik,0.0014862408,0.9718750024,1
1500009L16Rik,1.6278260122,0.0001225584,0.0014846732
1500010J02Rik,0.0304251048,0.8966985518,1
1500011B03Rik,-0.1713886234,0.5027591809,0.8211097287
1500011H22Rik,-0.041889465,0.7755515808,0.9639033032
1500011K16Rik,0.1175182433,0.8926984867,1
1500012F01Rik,-0.3069917182,0.095712933,0.3264518385
1500015A07Rik,-0.3239998978,0.3368069606,0.6926048286
1500015O10Rik,-1.8961120418,0.0061439772,0.0413781002
1500016L03Rik,Inf,0.8945248257,1
1500017E21Rik,0.0573602082,1,1
1500031L02Rik,-0.0298491302,0.8871828882,1
1500032L24Rik,-0.0672428945,0.6527709901,0.8970780635
1520402A15Rik,-0.1078482046,0.7409541657,0.946341075
1600002D24Rik,2.6815948621,0.7320020164,0.941863947
1600002H07Rik,-0.0354909383,0.8180044876,0.9853834324
